Comprehensive Structured List of Medium-Risk, Medium-Term Investment Assets  
(Covering ETFs, Bonds, Commodities, and Stocks — Minimum 100, Categorized by Asset Class, Each with Name and Yahoo Finance Symbol)

---

### ETFs

| Asset Name                           | Yahoo Finance Symbol | Region      | Sector/Strategy                |
|-------------------------------------- |---------------------|-------------|-------------------------------|
| Vanguard S&P 500 ETF                  | VOO                 | USA         | Large Cap Broad Market        |
| iShares Core S&P 500 ETF              | IVV                 | USA         | Large Cap Broad Market        |
| SPDR S&P 500 ETF Trust                | SPY                 | USA         | Large Cap Broad Market        |
| Schwab U.S. Broad Market ETF          | SCHB                | USA         | Total US Equity               |
| iShares Core Total U.S. Stock Market  | ITOT                | USA         | Total US Equity               |
| Schwab International Equity ETF       | SCHF                | Global      | Developed Ex-US               |
| Vanguard FTSE Developed Markets       | VEA                 | Global      | Developed Markets             |
| Vanguard FTSE Emerging Markets ETF    | VWO                 | EM          | Emerging Markets              |
| iShares MSCI EAFE ETF                 | EFA                 | Developed   | International Equity          |
| iShares MSCI Emerging Markets ETF     | EEM                 | EM          | Emerging Markets              |
| Invesco QQQ Trust                     | QQQ                 | USA         | NASDAQ-100/Tech               |
| Vanguard Growth ETF                   | VUG                 | USA         | Growth                        |
| Vanguard Value ETF                    | VTV                 | USA         | Value                         |
| iShares Russell 1000 Value ETF        | IWD                 | USA         | Value                         |
| iShares Russell 1000 Growth ETF       | IWF                 | USA         | Growth                        |
| iShares MSCI ACWI ETF                 | ACWI                | Global      | All Country World Index       |
| iShares Core MSCI Total Intl Stock    | IXUS                | Global      | International Equity          |
| Schwab U.S. Large-Cap ETF             | SCHX                | USA         | Large Cap                     |
| Vanguard Real Estate ETF              | VNQ                 | USA         | REITs                         |
| iShares U.S. Real Estate ETF          | IYR                 | USA         | REITs                         |
| iShares Core U.S. Aggregate Bond      | AGG                 | USA         | US Aggregate Bond             |
| Vanguard Total Bond Market ETF        | BND                 | USA         | US Aggregate Bond             |
| Schwab U.S. Aggregate Bond ETF        | SCHZ                | USA         | US Aggregate Bond             |
| iShares 7-10 Year Treasury Bond ETF   | IEF                 | USA         | US Treasuries (7-10Y)         |
| Schwab Short-Term U.S. Treasury ETF   | SCHO                | USA         | Short-term Treasuries         |
| SPDR Portfolio Short Term Treasury    | SPTS                | USA         | Short-term Treasuries         |
| Schwab Intermediate-Term U.S. Treasury| SCHR                | USA         | Intermediate Treasuries       |
| Vanguard Short-Term Bond ETF          | BSV                 | USA         | Short-term Bonds              |
| iShares iBoxx $ Invmt Grade Corp Bd   | LQD                 | USA         | Investment Grade Corporates   |
| Vanguard Short-Term Inflation-Protected| VTIP               | USA         | Short-term TIPS               |
| Schwab U.S. TIPS ETF                  | SCHP                | USA         | TIPS                          |
| iShares TIPS Bond ETF                 | TIP                 | USA         | TIPS                          |
| iShares MBS ETF                       | MBB                 | USA         | Mortgage Backed Securities    |
| Vanguard Mortgage-Backed Sec ETF      | VMBS                | USA         | Mortgage Backed Securities    |
| iShares National Muni Bond ETF        | MUB                 | USA         | Municipal                     |
| iShares iBoxx $ High Yield Corp Bd    | HYG                 | USA         | High Yield (Selected for med) |
| SPDR Bloomberg Barclays High Yield Bd | JNK                 | USA         | High Yield                    |
| iShares 20+ Year Treasury Bond ETF    | TLT                 | USA         | Long-Term Treasuries          |
