date,time,country,event,reference,actual,previous,consensus,forecast,importance,url
Monday March 10 2025,12:35 AM,JP,5-Year JGB Auction,,1.157%,0.982%,,N/A,0,/japan/5-year-note-yield
Monday March 10 2025,02:00 AM,JP,Coincident Index Prel,JAN,116.2,116.1,,117,0,/japan/coincident-index
Monday March 10 2025,02:00 AM,JP,Leading Economic Index Prel,JAN,108.0,107.9,108.4,108.7,0,/japan/leading-economic-index
Monday March 10 2025,02:00 AM,KR,3-Year KTB Auction,,2.586%,2.615%,,N/A,0,/south-korea/3-year-note-yield
Monday March 10 2025,03:00 AM,JP,Eco Watchers Survey Current,FEB,45.6,48.6,48.5,49,0,/japan/economy-watchers-survey
Monday March 10 2025,03:00 AM,JP,Eco Watchers Survey Outlook,FEB,46.6,48.0,,48.6,0,/japan/economy-watchers-survey-outlook
Monday March 10 2025,04:00 AM,DE,Balance of Trade,JAN,€16B,€20.7B,€21B,€21.5B,0,/germany/balance-of-trade
Monday March 10 2025,04:00 AM,DE,Exports MoM,JAN,-2.5%,2.5%,,N/A,0,/germany/exports
Monday March 10 2025,04:00 AM,DE,Industrial Production MoM,JAN,2%,-1.5%,1.5%,1.5%,0,/germany/industrial-production-mom
Monday March 10 2025,04:00 AM,DE,Imports MoM,JAN,1.2%,1.6%,,N/A,0,/germany/imports
Monday March 10 2025,04:00 AM,TR,Industrial Production YoY,JAN,1.2%,7%,,8.0%,0,/turkey/industrial-production
Monday March 10 2025,04:00 AM,TR,Industrial Production MoM,JAN,-2.3%,5%,,-2.9%,0,/turkey/industrial-production-mom
Monday March 10 2025,06:00 AM,IT,PPI MoM,JAN,,0.6%,,0.3%,0,/italy/producer-price-inflation-mom
Monday March 10 2025,06:00 AM,IT,PPI YoY,JAN,,1.1%,,0.5%,0,/italy/producer-prices-change
Monday March 10 2025,09:00 AM,MX,Consumer Confidence,FEB,,46.7,,46,0,/mexico/consumer-confidence
Monday March 10 2025,10:00 AM,EA,ECB Nagel Speech,,,,N/A,N/A,0,/euro-area/interest-rate
Monday March 10 2025,11:00 AM,FR,12-Month BTF Auction,,,2.239%,,N/A,0,/france/52-week-bill-yield
Monday March 10 2025,11:00 AM,FR,3-Month BTF Auction,,,2.396%,,N/A,0,/france/3-month-bill-yield
Monday March 10 2025,11:00 AM,FR,6-Month BTF Auction,,,2.339%,,N/A,0,/france/6-month-bill-yield
Monday March 10 2025,12:00 PM,US,Consumer Inflation Expectations,FEB,,3%,,3.2%,0,/united-states/inflation-expectations
Monday March 10 2025,12:30 PM,US,3-Month Bill Auction,,,4.210%,,N/A,0,/united-states/3-month-bill-yield
Monday March 10 2025,12:30 PM,US,6-Month Bill Auction,,,4.135%,,N/A,0,/united-states/6-month-bill-yield
Monday March 10 2025,08:30 PM,AU,Westpac Consumer Confidence Change,MAR,,0.1%,,-0.3%,0,/australia/consumer-confidence-mom
Monday March 10 2025,08:30 PM,AU,Westpac Consumer Confidence Index,MAR,,92.2,,92,0,/australia/consumer-confidence
Monday March 10 2025,08:30 PM,JP,Household Spending MoM,JAN,,2.3%,-1.9%,-0.4%,0,/japan/household-spending-mom
Monday March 10 2025,08:30 PM,JP,Household Spending YoY,JAN,,2.7%,3.6%,3.6%,0,/japan/household-spending
Monday March 10 2025,08:50 PM,JP,GDP Growth Annualized Final,Q4,,1.2%,,2.8%,0,/japan/gdp-growth-annualized
Monday March 10 2025,08:50 PM,JP,GDP Growth Rate QoQ Final,Q4,,0.3%,0.7%,0.7%,0,/japan/gdp-growth
Monday March 10 2025,08:50 PM,JP,GDP Capital Expenditure QoQ Final,Q4,,-0.1%,0.3%,0.5%,0,/japan/gross-fixed-capital-formation
Monday March 10 2025,08:50 PM,JP,GDP External Demand QoQ Final,Q4,,-0.1%,0.7%,0.7%,0,/japan/gdp-external-demand-contribution
Monday March 10 2025,08:50 PM,JP,GDP Price Index YoY Final,Q4,,2.4%,2.8%,2.8%,0,/japan/gdp-deflator
Monday March 10 2025,08:50 PM,JP,GDP Private Consumption QoQ Final,Q4,,0.7%,0.1%,0.1%,0,/japan/consumer-spending
Monday March 10 2025,09:01 PM,GB,BRC Retail Sales Monitor YoY,FEB,,2.5%,2.4%,2.3%,0,/united-kingdom/brc-retail-sales-monitor-yoy
Monday March 10 2025,09:30 PM,AU,NAB Business Confidence,FEB,,4,,6,0,/australia/business-confidence
Monday March 10 2025,,CN,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,,CN,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,,SA,Industrial Production YoY,JAN,,2.1%,,3.1%,0,/saudi-arabia/industrial-production
Monday March 10 2025,,BR,BCB Focus Market Readout,,,,,N/A,0,/brazil/interest-rate
Monday March 10 2025,,BR,Federal Tax Revenues,JAN,,BRL261.3B,,N/A,0,/brazil/government-revenues
Monday March 10 2025,,AR,Tax Revenue,FEB,,ARS15032B,,N/A,0,/argentina/tax-revenue
Monday March 10 2025,,EA,N/A,,,,N/A,N/A,0,N/A
Monday March 10 2025,12:00 AM,ID,Consumer Confidence,FEB,,127.2,,127.5,0,/indonesia/consumer-confidence
Monday March 10 2025,02:00 AM,SG,MAS 12-Week Bill Auction,,,2.78%,,N/A,0,/singapore/3-month-bill-yield
Monday March 10 2025,02:00 AM,SG,MAS 4-Week Bill Auction,,,2.78%,,N/A,0,/singapore/1-month-bill-yield
Monday March 10 2025,03:00 AM,JP,Machine Tool Orders YoY,FEB,,4.7%,4.7%,3.5%,0,/japan/machine-tool-orders
Monday March 10 2025,04:00 AM,TR,Retail Sales MoM,JAN,,0.4%,,0.6%,0,/turkey/retail-sales
Monday March 10 2025,04:00 AM,TR,Retail Sales YoY,JAN,,13.5%,,12.9%,0,/turkey/retail-sales-annual
