Especificação,Categoria,2019,2020,2021
GOIÁS,Estabelecimentos com receita de revenda,65784,63450,68540
GOIÁS,Comércio de veículos e motocicletas e comércio a varejo de combustíveis,7392,7170,7151
GOIÁS,Comércio atacadista,8911,10981,10908
GOIÁS,Comércio varejista,49481,45299,50481
GOIÁS,Pessoal ocupado em 31/12,334501,338146,348358
GOIÁS,Comércio de veículos e motocicletas e comércio a varejo de combustíveis - Pessoal,37837,40487,45004
GOIÁS,Comércio atacadista - Pessoal,59060,64001,66489
GOIÁS,Comércio varejista - Pessoal,237604,233658,236865
GOIÁS,Salários retiradas e outras remunerações (R$ mil),7413806,7478115,8508355
GOIÁS,Comércio de veículos e motocicletas e comércio a varejo de combustíveis - Salários,961894,1036758,1217954
GOIÁS,Comércio atacadista - Salários,1812493,1972286,2625092
GOIÁS,Comércio varejista - Salários,4639419,4469071,4665309
BRASIL,Estabelecimentos com receita de revenda,1597424,1490191,1565802
BRASIL,Comércio de veículos e motocicletas e comércio a varejo de combustíveis,149370,136273,141264
BRASIL,Comércio atacadista,225089,231982,255246
BRASIL,Comércio varejista,1222965,1121936,1169292
BRASIL,Pessoal ocupado em 31/12,10184916,9765655,10079858
BRASIL,Comércio de veículos e motocicletas e comércio a varejo de combustíveis - Pessoal,906115,827041,833063
BRASIL,Comércio atacadista - Pessoal,1697778,1722191,1833620
BRASIL,Comércio varejista - Pessoal,7581023,7216423,7413175
BRASIL,Salários retiradas e outras remunerações (R$ mil),247612078,241452439,277202205
BRASIL,Comércio de veículos e motocicletas e comércio a varejo de combustíveis - Salários,24133465,22765288,26465450
BRASIL,Comércio atacadista - Salários,63361005,64878049,75229753
BRASIL,Comércio varejista - Salários,160117608,153809102,175507002
