Especificação,Categoria,2019,2020,2021
GOIÁS,Receita bruta de revenda,150324212,166039971,220400134
GOIÁS,Comércio de veículos peças e motocicletas,15007536,17737761,21261052
GOIÁS,Comércio por atacado,73567871,88082383,114635565
GOIÁS,Comércio varejista,61748805,60219827,84503517
GOIÁS,Margem de comercialização,27206839,30566252,39576084
GOIÁS,Comércio de veículos peças e motocicletas - Margem,2797868,3075377,4271016
GOIÁS,Comércio por atacado - Margem,12280320,14872562,21226523
GOIÁS,Comércio varejista - Margem,12128651,12618313,14078545
BRASIL,Receita bruta de revenda,4113465192,4532361511,5750101026
BRASIL,Comércio de veículos peças e motocicletas,402767589,388192312,493306664
BRASIL,Comércio por atacado,1873311076,2174154600,2873832782
BRASIL,Comércio varejista,1837386527,1970014599,2382961580
BRASIL,Margem de comercialização,864269479,942651156,1155246556
BRASIL,Comércio de veículos peças e motocicletas - Margem,64563317,66455066,91190472
BRASIL,Comércio por atacado - Margem,314977275,364463602,474560140
BRASIL,Comércio varejista - Margem,484728887,511732488,589495944
