Agência_Bancária,2020,2021,2022
Total,618,600,601
AGÊNCIA DE FOMENTO DE GOIAS S/A,1,1,1
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX,1,1,1
BANCO ABC BRASIL S.A.,1,1,1
BANCO BMG S.A.,1,1,1
BANCO BRADESCO S.A.,105,96,95
BANCO CITIBANK S.A.,1,1,1
BANCO DAYCOVAL S.A.,1,1,1
BANCO DO BRASIL S.A.,151,142,143
BANCO INDUSTRIAL DO BRASIL S.A.,1,1,1
BANCO ITAÚ BBA S.A.,1,1,1
BANCO MERCANTIL DO BRASIL S.A.,1,1,1
BANCO RABOBANK INTERNATIONAL BRASIL S.A.,1,1,1
BANCO SAFRA S.A.,4,4,4
BANCO SANTANDER (BRASIL) S.A.,40,39,40
BANCO SOFISA S.A.,1,1,1
BRB - BANCO DE BRASILIA S.A.,11,11,11
CAIXA ECONOMICA FEDERAL,146,146,146
ITAÚ UNIBANCO S.A.,150,151,151
