Segmentos,Tipo,2019,2020,2021
GOIÁS,Número de unidades locais,6377,6524,6985
GOIÁS,Indústrias extrativas,158,169,168
GOIÁS,Ind. de transformação,6219,6355,6817
GOIÁS,Artigos do vestuário,1122,1262,1384
GOIÁS,Bebidas,66,66,69
GOIÁS,Produtos alimentícios,1324,1264,1342
GOIÁS,Produtos de minerais não-metálicos,639,630,655
GOIÁS,Pessoal ocupado em 31/12,227195,231560,247585
GOIÁS,Indústrias extrativas - Pessoal,3899,4421,4984
GOIÁS,Ind. de transformação - Pessoal,223296,227139,242601
GOIÁS,Artigos do vestuário - Pessoal,17986,16950,19437
GOIÁS,Bebidas - Pessoal,5784,5694,5657
GOIÁS,Produtos alimentícios - Pessoal,81677,86244,89700
GOIÁS,Produtos de minerais não-metálicos - Pessoal,10498,9493,12505
BRASIL,Número de unidades locais,325377,321904,344663
BRASIL,Indústrias extrativas,7634,7530,7522
BRASIL,Ind. de transformação,317743,314374,337141
BRASIL,Artigos do vestuário,23456,35036,40936
BRASIL,Bebidas,4102,4724,4355
BRASIL,Produtos alimentícios,46949,47433,49892
BRASIL,Produtos de minerais não-metálicos,23456,24232,25507
BRASIL,Pessoal ocupado em 31/12,7471164,7514737,7927352
BRASIL,Indústrias extrativas - Pessoal,208982,213150,223261
BRASIL,Ind. de transformação - Pessoal,7262182,7301587,7704091
BRASIL,Artigos do vestuário - Pessoal,558121,500021,548823
BRASIL,Bebidas - Pessoal,154185,156782,154589
BRASIL,Produtos alimentícios - Pessoal,1584761,1679983,1740237
BRASIL,Produtos de minerais não-metálicos - Pessoal,389538,410046,433626
