Produtos,2020,2021,2022
EXPORTAÇÃO,8133811970,9306158292,14147956772
Açúcares de cana ou de beterraba e sacarose quimicamente pura no estado sólido,338532690,362562345,342286394
Álcoois acíclicos e seus derivados halogenados sulfonados nitrados ou nitrosados,12959307,30155664,45838945
Álcool etílico não desnaturado com teor alcoólico superior a 80% vol,31922983,19800073,63537557
Algodão não cardado nem penteado,96768333,71727975,232529123
Amianto,27985768,61431505,96647494
Aparelhos mecânicos para projetar dispersar ou pulverizar líquidos ou pós,52626892,70775307,95602589
Café mesmo torrado ou descafeinado,25691527,24712588,53171756
Carnes de animais da espécie bovina congeladas,1068592272,1185798015,1289150747
Carnes de animais da espécie bovina frescas ou refrigeradas,74706405,118360390,137925192
Carnes e miudezas comestíveis frescas refrigeradas ou congeladas,338645564,402178014,436119643
Couros e peles curtidos ou em crosta de bovinos,68409180,111978186,87891827
Couros preparados após curtimenta ou após secagem,62842413,76593392,92519622
Demais produtos,372047336,411225232,475551609
Ferro-ligas,807372394,832003938,959380269
Gelatinas e seus derivados,54178908,39928035,63937666
Milho,682247386,222058465,947552854
Minérios de cobre e seus concentrados,399119219,526973497,457937196
Óleo de soja e respectivas frações,114397470,253768430,396739501
Ouro em formas brutas ou semimanufaturadas,319566037,445686740,496987726
Outros veículos aéreos,3787469,264415,48748772
Soja mesmo triturada,2503777227,3193221285,5945519376
Tortas e outros resíduos sólidos da extração do óleo de soja,677635190,844954801,1382380914
