Pontos_de_Escoamento,Valor_FOB_US$,Kg_Líquido
EXPORTAÇÃO,14147956772,18751281166
PORTO DE SANTOS,8812702151,12608794367
PORTO DE PARANAGUA,1963656055,2491051634
PORTO DE VITORIA,1414510828,2522822740
AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,579136187,1273884
IRF CAMPOS DOS GOYTACAZES,457937196,225430633
PORTO DE SAO FRANCISCO DO SUL,367578585,562865483
ITAJAI,196544994,73046550
DEMAIS PONTOS DE ESCOAMENTO,94611414,118966184
SAO JOSE DOS CAMPOS,48748772,24494
ALF - FOZ DO IGUAÇU,44436769,13280696
IRF - SÃO BORJA,34086257,6465454
IRF SAO LUIS,33420684,57838004
PORTO DE RIO GRANDE,28664244,43510525
IRF - CHUÍ,26756059,6114791
ALF - DIONÍSIO CERQUEIRA,24755380,5223279
ALF - URUGUAIANA,20411197,14572448
