Pontos_de_Chegada,Valor_FOB_US$,Kg_Líquido
IMPORTAÇÃO,5981330933,3899915790
PORTO DE SANTOS,2321142972,1033520215
PORTO DE PARANAGUA,822530041,1284130449
AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,758923199,2341526
PORTO DE VITORIA,575049105,853570415
AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,383035405,23830
AEROPORTO INTERNACIONAL DE BRASILIA,234748207,59209
PORTO DE SAO FRANCISCO DO SUL,163946285,227809238
AEROPORTO INTERNACIONAL DE VIRACOPOS,152103478,1772334
ALF - URUGUAIANA,138588492,0
DEMAIS PONTOS DE CHEGADA,136308911,29292170
IRF - IMBITUBA,86864602,116485573
IRF - SÃO BORJA,53037132,4332410
ITAJAI,42459539,8629683
ALF - FOZ DO IGUAÇU,42393019,46010231
IRF CAMPOS DOS GOYTACAZES,39722022,261661876
ALF - SALVADOR,30478524,30276631
