UF,Valor_2022,Ranking
BR,334136038220,-
SP,69630557731,1º
RJ,45513894522,2º
MG,40194081528,3º
MT,32507576705,4º
RS,22564741435,5º
PR,22132924180,6º
PA,21515318367,7º
GO,14147956772,8º
BA,13922501992,9º
SC,11966468596,10º
ES,9128591208,11º
MS,8212503458,12º
MA,5737972464,13º
TO,3087623542,14º
PE,2488251640,15º
RO,2344178050,16º
CE,2340538086,17º
PI,1654071764,18º
AM,903836971,19º
RN,736671767,20º
AL,588293465,21º
RR,425912352,22º
DF,365685198,23º
AP,209147133,24º
PB,148936914,25º
SE,118258111,26º
AC,54365656,27º
Outras,1495178613,-
