RECEITAS,2020,2021,2022
CIDE-COMBUSTÍVEIS,58192,60058,66023
COFINS,3158060036,4378211221,4142216208
CONTRIBUIÇÃO PARA O PIS/PASEP,1171321966,1171321966,1540953356
CPSSS – CONTRIB. P/ O PLANO DE SEGURID. SOCIAL SERV. PÚBLICO,602951177,731155194,820178396
CSLL,1298410495,9587374,9587374
IMPOSTO OPERAÇÕES FINANCEIRAS,50697840,207330641,257460795
IMPOSTO SOBRE EXPORTAÇÃO,36013,93909,44206
IMPOSTO SOBRE IMPORTAÇÃO,385559157,508117197,469015550
IMPOSTO TERRITORIAL RURAL,203141981,206432641,328963787
IPI – TOTAL,424591468,618901710,606381722
IRPF,1095425138,1468342768,1721702908
IRPJ,2538282616,3919412821,4908069410
OUTRAS RECEITAS ADMINISTRADAS,162638156,273889579,305302762
DEMAIS RECEITAS,1708801628,2083894007,2601888545
SUBTOTAL,12799975861,15576751081,17711831042
RECEITA PREVIDENCIÁRIA,8817972523,10116284197,12654184401
ADMINISTRADAS PELA RFB,21617948383,25693035283,30366015443
ADMINISTRADAS POR OUTROS ÓRGÃOS,86460555,160619212,235387388
TOTAL,21704408939,25853654495,30601402831
