Discriminação,Despesa_realizada_2021,Despesa_fixada_2022,Despesa_prevista_2023
Despesas correntes,26782948,30701741,35074233
Pessoal e encargos sociais,17504334,19436642,21391632
Juros e encargos da dívida,72016,319967,634919
Outras despesas correntes,9206587,10945132,13047682
Despesas de capital,2441731,5913299,2508944
Investimento,2324711,3167229,2203696
Inversões financeiras,41773,48440,56644
Amortização da dívida,75247,2697630,248604
Reserva de contingência,0,1212958,2013989
Total,29224680,37828000,39597166
