Programa,Goiás_Quantidade_2021,Goiás_Quantidade_2022,Goiás_Valor_2021,Goiás_Valor_2022,Centro_Oeste_Quantidade_2021,Centro_Oeste_Quantidade_2022,Centro_Oeste_Valor_2021,Centro_Oeste_Valor_2022
Total Geral,9029,9998,2829108,3266981,20745,24567,9651538,10157515
Empresarial,1622,2033,674847,890073,4573,5742,2214467,2697489
Industrial,149,230,162367,229150,306,577,314420,570481
Infraestrutura,16,13,33909,56600,26,24,314554,105640
Turismo,7,11,2814,12032,34,52,36654,79039
Com. Serv. e C.T. & I,1450,1779,475757,592292,4207,5089,1548839,1942329
Emergencial,0,0,0,0,0,0,0,0
Empresarial-Repasse,30,1,5024,300,246,52,72374,39765
Rural,4866,3962,1884692,1974021,9548,7728,6138497,5725520
Des. Rural,4844,3916,1876329,1944951,9443,7508,6058567,5482422
FCO-Cons. Natureza,22,46,8362,29070,105,220,79931,243098
FCO-ILPF,0,0,0,0,0,0,0,0
PRONAF,2118,3340,131764,128911,4451,8430,316904,352564
PRONAF – RA,379,251,10563,7905,1017,645,28490,20261
Rural-Repasse,385,650,132546,273077,1893,2435,908203,1336293
Ger. Energia Elétrica PF,8,12,234,599,34,180,1092,5884
