UF,PIBPC_R$_10³,PVAPCA_%,PVAPCI_%,PVAPCS_%,PVAPCAD_%
SP,2719751231,7.82,26.00,37.72,16.97
RJ,949300770,0.74,14.68,9.65,11.94
MG,857593214,9.45,12.97,8.50,8.79
RS,581283677,12.68,6.08,6.09,5.56
PR,549973062,10.44,6.52,5.72,4.84
SC,428570889,3.96,4.79,4.77,3.45
BA,352617852,5.76,3.84,3.52,4.84
DF,286943782,0.39,0.51,3.27,9.58
GO,269627874,7.18,2.66,2.71,3.01
PA,262904979,4.11,5.58,1.66,3.26
MT,233390203,13.51,1.61,1.87,2.05
PE,220813522,1.62,2.04,2.31,3.72
CE,194884802,1.76,1.72,2.15,3.15
ES,186336505,1.19,2.99,1.75,1.68
MS,142203766,5.44,1.28,1.21,1.71
AM,131531038,0.95,2.10,1.00,1.86
MA,124980720,2.35,1.09,1.18,2.33
RN,80180733,0.53,0.74,0.83,1.71
PB,77470331,0.54,0.51,0.83,1.80
AL,76265620,2.85,0.47,0.67,1.31
PI,64028303,1.32,0.41,0.62,1.42
RO,58170096,1.79,0.39,0.50,1.07
SE,51861397,0.47,0.51,0.51,1.07
TO,51780764,2.26,0.25,0.41,1.01
AC,21374440,0.62,0.07,0.20,0.54
AP,20099851,0.06,0.12,0.18,0.70
RR,18202579,0.21,0.08,0.16,0.59
