Produto,2020,2021,2022
Total,6935757,7356576,7680156
Soja (em grão),3577700,3857007,4121969
Milho (em grão),1733660,1882705,1942588
Cana-de-açúcar,928046,930954,933105
Sorgo (em grão),360672,363308,370277
Feijão (em grão),137681,139194,127597
Algodão herbáceo (em caroço),38522,33503,31346
Girassol (em grão),22872,24235,25165
Arroz (em casca),28461,25814,24306
Tomate,26000,20503,21900
Banana (cacho),13880,12258,12880
Mandioca,11949,11440,11657
Borracha (látex coagulado),9215,9520,10460
Laranja,6909,6902,7024
Café (em grão) Total,7598,6801,6771
Melancia,5497,6370,5621
Batata-inglesa,4540,4308,5075
Alho,3425,3500,3440
Cebola,2450,2460,2365
Abacaxi,1927,1849,1615
Tangerina,1010,1030,1047
Palmito,819,777,919
Maracujá,341,335,411
Coco-da-baía,466,357,197
Limão,100,157,164
Goiaba,151,151,151
Uva,91,93,133
Manga,180,177,129
Mamão,63,62,54
Abacate,38,38,28
Ervilha (em grão),0,0,0
Trigo (em grão),0,0,0
Outras,11494,10768,11762
