Produtos,2020,2021,2022
Total,6929925,7327842,7638596
Soja (em grão),3577700,3857007,4121969
Milho (em grão),1731660,1860245,1907212
Cana-de-açúcar,928031,926609,931090
Sorgo (em grão),360577,361888,366817
Feijão (em grão),134379,139194,127527
Algodão herbáceo (em caroço),38522,33503,31346
Girassol (em grão),22872,24235,24612
Arroz (em casca),28461,25515,24288
Trigo (em grão),26000,20503,21900
Banana (cacho),13880,12233,12880
Mandioca,11667,11423,11624
Borracha (látex coagulado),9205,9520,10435
Laranja,6909,6902,7024
Café (em grão) Total,7488,6801,6771
Melancia,5492,6370,5621
Batata-inglesa,4540,4308,5075
Alho,3425,3500,3440
Cebola,2450,2460,2365
Abacaxi,1927,1849,1615
Tangerina,1010,1030,1047
Palmito,819,777,919
Maracujá,341,335,411
Coco-da-baía,465,211,197
Limão,100,157,164
Goiaba,151,151,151
Uva,80,93,133
Manga,180,177,129
Mamão,63,53,54
Abacate,38,38,28
Ervilha (em grão),0,0,0
Outras,11493,10755,11752
