Produto,2020,2021,2022
Cana-de-açúcar,75873273,72012198,73525072
Soja (em grão),12849800,13659826,15216144
Palmito,11838775,10750433,10709893
Tangerina,1165597,1140088,1045555
Girassol (em grão),353457,341189,342170
Milho (em grão),225295,278282,239090
Batata-inglesa,183104,177618,223415
Banana (cacho),221539,202049,198033
Manga,182132,180820,183839
Limão,154139,166735,163230
Cebola,164540,181177,144177
Algodão herbáceo (em caroço),162377,138840,129665
Arroz (em casca),144419,124510,107769
Trigo (em grão),110884,84035,90047
Alho,53590,50213,58459
Goiaba,38230,36661,39877
Abacaxi,42695,40943,35522
Borracha (látex coagulado),26028,27139,30498
Tomate,25767,26638,25726
Café (em grão) Total,18032,17018,16957
Soja (em grão),14798,13825,15914
Melancia,5531,6370,6794
Laranja,3835,3670,3765
Mamão,1714,3203,3096
Coco-da-baía,5206,2741,2320
Uva,1516,1850,1997
Maracujá,2986,2686,1937
Mandioca,1440,1084,1135
Abacate,229,249,210
Feijão (em grão),0,0,0
