Produto,2020,2021,2022
Abacate,6026,6553,7500
Abacaxi,22156,22143,21995
Algodão herbáceo (em caroço),4215,4144,4137
Alho,15647,14347,16994
Arroz (em casca),5074,4880,4437
Banana (cacho),15961,16517,15375
Batata-inglesa,40331,41230,44023
Borracha (látex coagulado),2828,2851,2923
Café (em grão) Total,2408,2502,2504
Cana-de-açúcar,81757,77716,78967
Cebola,67159,73649,60963
Coco-da-baía,11196,12991,11777
Feijão (em grão),0,0,0
Girassol (em grão),2630,2451,2683
Goiaba,1671,1513,1620
Laranja,25397,24305,24934
Limão,22310,24157,23239
Mamão,17140,20401,18878
Mandioca,22857,20453,21019
Manga,15611,15829,15815
Maracujá,16589,15175,15016
Melancia,16220,19015,16530
Milho (em grão),41022,43686,42535
Palmito,6837,5779,5615
Soja (em grão),18068,17793,17317
Sorgo (em grão),3592,3542,3691
Tangerina,3233,3150,2850
Tomate,25512,25862,24571
Trigo (em grão),4265,4099,4112
Uva,18950,19892,15015
