Município,Total_de_toneladas,Índice_na_Oferta_do_Estado_%
Goianápolis,57694.48,10.95
Cristalina,51998.26,9.87
Anápolis,45685.03,8.98
Campo Limpo,42820.56,8.13
Leopoldo de Bulhões,34250.40,6.50
Nerópolis,29810.82,5.66
Goiânia,29403.50,5.58
São João D'Aliança,17056.56,3.24
Inhumas,16576.13,3.15
Hidrolândia,15491.02,2.94
Ouro Verde de Goiás,13927.13,2.64
Trindade,13156.14,2.50
Terezópolis de Goiás,11171.35,2.12
Jaraguá,11070.49,2.10
Itaberaí,9053.33,1.72
Uruana,7135.75,1.32
Itaberaí,6939.85,1.28
Corumbá de Goiás,8594.50,1.63
Bela Vista de Goiás,6301.10,1.20
Niquelândia,5807.80,1.10
Luziânia,5800.47,1.10
Abadia de Goiás,5294.95,1.01
