Produto,Volume_t,Oferta_do_Estado_%,Oferta_de_outros_Estados_%,Participação_oferta_geral_%,Principais_localidades_na_oferta
Tomate,112199.51,93.62,6.38,12.05,"Anápolis - Bonfinópolis - Corumbá de Goiás - Goianápolis – Goiânia - Leopoldo de Bulhões – Nerópolis – Ouro Verde de Goiás – Pirenópolis – São João d'Aliança"
Batata,97265.30,17.60,82.40,10.45,"Anápolis - Cristalina – Niquelândia - Santa Cruz de Goiás"
Repolho,46047.11,71.99,28.01,4.95,"Anápolis - Campo Limpo de Goiás - Cristalina – Goianápolis - Leopoldo de Bulhões – Nerópolis - Ouro Verde de Goiás -Luziânia"
Maçã,45409.11,0.00,100.00,4.88,"Região Sul do Brasil"
Melão,40989.01,0.00,100.00,4.40,"Região Nordeste do Brasil"
Laranja,38530.96,85.14,14.86,4.14,"Anápolis - Hidrolândia – Inhumas – Itaberaí – Goianápolis –Trindade"
Cebola,34436.82,26.33,73.67,3.70,"Alexânia – Cristalina – Luziânia – Planaltina - Santa Cruz de Goiás"
Abóbora Japonesa,30524.58,70.03,29.97,3.28,"Cristalina - Ipameri – Itapuranga - Luziânia – Nova Glória – Pontalina - Rio Verde de Goiás - Santa Helena de Goiás - Vicentinópolis"
Mamão,28618.68,17.00,83.00,3.07,"Anápolis - Hidrolândia – Inhumas - Itaberaí – Piracanjuba – Trindade"
Banana,26372.19,69.77,30.23,2.83,"Abadia de Goiás – Anápolis – Avelinópolis - Itaguari – Itaguaru – Jataí – Ouro Verde de Goiás – Silvânia"
Limão,24172.60,59.49,40.51,4.61,"Abadia de Goiás – Anápolis - Goianápolis– Goiânia – – Hidrolândia - Leopoldo de Bulhões – Nerópolis – Piracanjuba"
Cenoura,23573.07,88.49,11.51,2.53,"Cristalina – Goianápolis - Leopoldo de Bulhões – Nerópolis – Ouro Verde de Goiás – Padre Bernardo"
Melancia,23298.85,45.64,54.36,2.50,"Jaraguá - Jesúpolis – Morrinhos - Nova Crixás – Nova Glória – São Luiz do Norte – Uruana"
Abacaxi,22336.32,56.94,43.06,2.40,"Indiara – Jaraguá – Petrolina de Goiás – São Luís de Montes Belos – São Luiz do Norte"
Manga,20878.26,24.14,75.86,2.24,"Anápolis – Inhumas – Goiânia – Goiás - Nerópolis – Nova Veneza - Senador Canedo – Trindade"
